ghidra_address,raw_address,generated_name,body_bytes,source_kind,original_name,status
0x3a2e2c,0x2a2e2c,recovered_fn_002a2e2c,560,c_decompiled,FUN_003a2e2c,ok
0x3a305c,0x2a305c,recovered_fn_002a305c,492,c_decompiled,FUN_003a305c,ok
0x3a3248,0x2a3248,recovered_fn_002a3248,344,c_decompiled,FUN_003a3248,ok
0x3a33a0,0x2a33a0,recovered_fn_002a33a0,12,c_decompiled,FUN_003a33a0,ok
0x3a33ac,0x2a33ac,recovered_fn_002a33ac,324,c_decompiled,FUN_003a33ac,ok
0x3a34f0,0x2a34f0,recovered_fn_002a34f0,392,c_decompiled,FUN_003a34f0,ok
0x3a3678,0x2a3678,recovered_fn_002a3678,12,c_decompiled,FUN_003a3678,ok
0x3a3684,0x2a3684,recovered_fn_002a3684,424,c_decompiled,FUN_003a3684,ok
0x3a382c,0x2a382c,recovered_fn_002a382c,64,c_decompiled,FUN_003a382c,ok
0x3a386c,0x2a386c,recovered_fn_002a386c,48,c_decompiled,FUN_003a386c,ok
0x3a389c,0x2a389c,recovered_fn_002a389c,64,c_decompiled,FUN_003a389c,ok
0x3a38dc,0x2a38dc,recovered_fn_002a38dc,56,c_decompiled,FUN_003a38dc,ok
0x3a3914,0x2a3914,recovered_fn_002a3914,12,c_decompiled,FUN_003a3914,ok
0x3a3920,0x2a3920,recovered_fn_002a3920,12,c_decompiled,FUN_003a3920,ok
0x3a392c,0x2a392c,recovered_fn_002a392c,96,c_decompiled,FUN_003a392c,ok
0x3a398c,0x2a398c,recovered_fn_002a398c,496,c_decompiled,FUN_003a398c,ok
0x3a3b7c,0x2a3b7c,recovered_fn_002a3b7c,204,c_decompiled,FUN_003a3b7c,ok
0x3a3c48,0x2a3c48,recovered_fn_002a3c48,96,c_decompiled,FUN_003a3c48,ok
0x3a3ca8,0x2a3ca8,recovered_fn_002a3ca8,4,c_decompiled,FUN_003a3ca8,ok
0x3a3cac,0x2a3cac,recovered_fn_002a3cac,4,c_decompiled,free,ok
0x3a3cb0,0x2a3cb0,recovered_fn_002a3cb0,20,c_decompiled,FUN_003a3cb0,ok
0x3a3cc4,0x2a3cc4,recovered_fn_002a3cc4,100,c_decompiled,FUN_003a3cc4,ok
0x3a3d28,0x2a3d28,recovered_fn_002a3d28,96,c_decompiled,FUN_003a3d28,ok
0x3a3d88,0x2a3d88,recovered_fn_002a3d88,12,c_decompiled,FUN_003a3d88,ok
0x3a3d94,0x2a3d94,recovered_fn_002a3d94,36,c_decompiled,FUN_003a3d94,ok
